fecha,categoria,instrumento,contrato,metrica,valor,origen,sin_sesion,hora_captura_utc
2026-05-20,barchart_curva,Ethanol,D2N27,intradia,620,captura_vivo_hora_desconocida,,
2026-05-20,barchart_curva,LON5,SWH27,intradia,454.7,captura_vivo_hora_desconocida,,
2026-05-20,barchart_curva,LON5,SWK27,intradia,457.3,captura_vivo_hora_desconocida,,
2026-05-20,barchart_curva,LON5,SWQ26,intradia,448.9,captura_vivo_hora_desconocida,,
2026-05-20,barchart_curva,LON5,SWQ27,intradia,457.2,captura_vivo_hora_desconocida,,
2026-05-20,barchart_curva,LON5,SWV26,intradia,448.1,captura_vivo_hora_desconocida,,
2026-05-20,barchart_curva,LON5,SWZ26,intradia,449.8,captura_vivo_hora_desconocida,,
2026-05-20,barchart_curva,NY11,SBH27,intradia,16.41,captura_vivo_hora_desconocida,,
2026-05-20,barchart_curva,NY11,SBK27,intradia,16.17,captura_vivo_hora_desconocida,,
2026-05-20,barchart_curva,NY11,SBN26,intradia,15.09,captura_vivo_hora_desconocida,,
2026-05-20,barchart_curva,NY11,SBN27,intradia,16.18,captura_vivo_hora_desconocida,,
2026-05-20,barchart_curva,NY11,SBV26,intradia,15.56,captura_vivo_hora_desconocida,,
2026-05-20,barchart_curva,NY11,SBV27,intradia,16.43,captura_vivo_hora_desconocida,,
2026-05-20,barchart_curva,Petroleo,CLN26,intradia,101.28,captura_vivo_hora_desconocida,,
2026-05-20,barchart_curva,Petroleo,CLQ26,intradia,96.66,captura_vivo_hora_desconocida,,
2026-05-20,barchart_curva,Petroleo,CLU26,intradia,92.3,captura_vivo_hora_desconocida,,
2026-05-20,barchart_curva,Petroleo,CLV26,intradia,88.57,captura_vivo_hora_desconocida,,
2026-05-20,barchart_curva,Petroleo,CLX26,intradia,85.63,captura_vivo_hora_desconocida,,
2026-05-20,barchart_curva,Petroleo,CLZ26,intradia,83.28,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,Ethanol,D2N27,change,17,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,Ethanol,D2N27,high,620,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,Ethanol,D2N27,intradia,620,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,Ethanol,D2N27,low,620,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,Ethanol,D2N27,open,0,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,Ethanol,D2N27,open_int,0,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,Ethanol,D2N27,previous,603,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,Ethanol,D2N27,volume,20,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,LON5,SWQ26,change,7.9,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,LON5,SWQ26,high,450,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,LON5,SWQ26,intradia,448.9,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,LON5,SWQ26,low,438.7,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,LON5,SWQ26,open,440.7,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,LON5,SWQ26,open_int,59698,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,LON5,SWQ26,previous,441,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,LON5,SWQ26,volume,4034,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,NY11,SBN26,change,0.08,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,NY11,SBN26,high,15.15,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,NY11,SBN26,intradia,15.09,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,NY11,SBN26,low,14.92,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,NY11,SBN26,open,15.07,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,NY11,SBN26,open_int,414867,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,NY11,SBN26,previous,15.01,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,NY11,SBN26,volume,19691,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,Petroleo,CLN26,change,-2.87,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,Petroleo,CLN26,high,104.45,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,Petroleo,CLN26,intradia,101.28,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,Petroleo,CLN26,low,100.87,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,Petroleo,CLN26,open,104.12,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,Petroleo,CLN26,open_int,283536,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,Petroleo,CLN26,previous,104.15,captura_vivo_hora_desconocida,,
2026-05-20,barchart_front,Petroleo,CLN26,volume,69315,captura_vivo_hora_desconocida,,
2026-05-20,divisas,EUR a USD,,compra,1.161175,,,
2026-05-20,divisas,EUR a USD,,venta,1.161175,,,
2026-05-20,divisas,USD a COP,,compra,3795.098334,,,
2026-05-20,divisas,USD a COP,,venta,3795.098334,,,
2026-05-20,divisas,USD a PEN,,compra,3.424,,,
2026-05-20,divisas,USD a PEN,,venta,3.431,,,
2026-05-20,sunat_categoria,BLANCAS,,declaraciones,4,,,
2026-05-20,sunat_categoria,BLANCAS,,fob,199114.11,,,
2026-05-20,sunat_categoria,BLANCAS,,peso_kg,391151,,,
2026-05-20,sunat_categoria,CARBURANTE,,declaraciones,0,,,
2026-05-20,sunat_categoria,CARBURANTE,,fob,0,,,
2026-05-20,sunat_categoria,CARBURANTE,,peso_kg,0,,,
2026-05-20,sunat_categoria,ETILICO,,declaraciones,0,,,
2026-05-20,sunat_categoria,ETILICO,,fob,0,,,
2026-05-20,sunat_categoria,ETILICO,,peso_kg,0,,,
2026-05-20,sunat_categoria,RUBIAS,,declaraciones,0,,,
2026-05-20,sunat_categoria,RUBIAS,,fob,0,,,
2026-05-20,sunat_categoria,RUBIAS,,peso_kg,0,,,
2026-05-20,sunat_importador,20100093830,,declaraciones,1,,,
2026-05-20,sunat_importador,20100093830,,fob,83040.2,,,
2026-05-20,sunat_importador,20273155938,,declaraciones,1,,,
2026-05-20,sunat_importador,20273155938,,fob,66694.91,,,
2026-05-20,sunat_importador,20303585622,,declaraciones,1,,,
2026-05-20,sunat_importador,20303585622,,fob,47352.0,,,
2026-05-20,sunat_importador,20499935286,,declaraciones,1,,,
2026-05-20,sunat_importador,20499935286,,fob,2027.0,,,
2026-05-20,sunat_marca,MANUELITA,,fob,47352.0,,,
2026-05-20,sunat_marca,PICHICHI,,fob,83040.2,,,
2026-05-20,sunat_marca,RIOPAILA,,fob,66694.91,,,
2026-05-20,sunat_marca,USP,,fob,2027.0,,,
2026-05-20,sunat_pais,Colombia,CO,fob,197087.11,,,
2026-05-20,sunat_pais,EE.UU.,US,fob,2027.0,,,
2026-05-20,sunat_total,,,total_declaraciones,4,,,
2026-05-20,sunat_total,,,total_fob_usd,199114.11,,,
2026-05-20,sunat_total,,,total_importadores,4,,,
2026-05-20,sunat_total,,,total_peso_kg,391151,,,
2026-05-21,barchart_curva,Ethanol,D2N27,intradia,620,captura_vivo_hora_desconocida,,
2026-05-21,barchart_curva,LON5,SWH27,intradia,454.1,captura_vivo_hora_desconocida,,
2026-05-21,barchart_curva,LON5,SWK27,intradia,455.6,captura_vivo_hora_desconocida,,
2026-05-21,barchart_curva,LON5,SWQ26,intradia,447.5,captura_vivo_hora_desconocida,,
2026-05-21,barchart_curva,LON5,SWQ27,intradia,455.4,captura_vivo_hora_desconocida,,
2026-05-21,barchart_curva,LON5,SWV26,intradia,447.5,captura_vivo_hora_desconocida,,
2026-05-21,barchart_curva,LON5,SWZ26,intradia,449.4,captura_vivo_hora_desconocida,,
2026-05-21,barchart_curva,NY11,SBH27,intradia,16.32,captura_vivo_hora_desconocida,,
2026-05-21,barchart_curva,NY11,SBK27,intradia,16.1,captura_vivo_hora_desconocida,,
2026-05-21,barchart_curva,NY11,SBN26,intradia,15.01,captura_vivo_hora_desconocida,,
2026-05-21,barchart_curva,NY11,SBN27,intradia,16.09,captura_vivo_hora_desconocida,,
2026-05-21,barchart_curva,NY11,SBV26,intradia,15.48,captura_vivo_hora_desconocida,,
2026-05-21,barchart_curva,NY11,SBV27,intradia,16.3,captura_vivo_hora_desconocida,,
2026-05-21,barchart_curva,Petroleo,CLN26,intradia,101.21,captura_vivo_hora_desconocida,,
2026-05-21,barchart_curva,Petroleo,CLQ26,intradia,96.95,captura_vivo_hora_desconocida,,
2026-05-21,barchart_curva,Petroleo,CLU26,intradia,92.8,captura_vivo_hora_desconocida,,
2026-05-21,barchart_curva,Petroleo,CLV26,intradia,89.1,captura_vivo_hora_desconocida,,
2026-05-21,barchart_curva,Petroleo,CLX26,intradia,86.22,captura_vivo_hora_desconocida,,
2026-05-21,barchart_curva,Petroleo,CLZ26,intradia,83.82,captura_vivo_hora_desconocida,,
2026-05-21,barchart_front,Ethanol,D2N27,change,17,captura_vivo_hora_desconocida,,
2026-05-21,barchart_front,Ethanol,D2N27,high,620,captura_vivo_hora_desconocida,,
2026-05-21,barchart_front,Ethanol,D2N27,intradia,620,captura_vivo_hora_desconocida,,
